patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
SONGS-WARNING-20260716-0021,SongDB_v2/songs.csv,Song ID,SA24A4B9C68EC,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0022,SongDB_v2/songs.csv,Song ID,SA466E4E53772,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0023,SongDB_v2/songs.csv,Song ID,SB345405724C7,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0024,SongDB_v2/songs.csv,Song ID,SBB9C48957219,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0025,SongDB_v2/songs.csv,Song ID,SBE00FBF03079,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0026,SongDB_v2/songs.csv,Song ID,SBF7CBBEBCA59,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0027,SongDB_v2/songs.csv,Song ID,SDA78A830A3A9,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0028,SongDB_v2/songs.csv,Song ID,SDF9CD9F2D261,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0029,SongDB_v2/songs.csv,Song ID,SED54D6682DD7,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0030,SongDB_v2/songs.csv,Song ID,SEEB0A2274CA8,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0031,SongDB_v2/songs.csv,Song ID,SF14E076E886B,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0032,SongDB_v2/songs.csv,Song ID,SF35C72413148,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0033,SongDB_v2/songs.csv,Song ID,SFC42C1645999,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
