patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
RECORDINGS-WARNING-20260716-0011,SongDB_v2/recordings.csv,Recording ID,R3911384F8EDE,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0012,SongDB_v2/recordings.csv,Recording ID,R3C9C36248022,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0013,SongDB_v2/recordings.csv,Recording ID,R3DB0152B243F,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0014,SongDB_v2/recordings.csv,Recording ID,R416340AE8AB6,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0015,SongDB_v2/recordings.csv,Recording ID,R531D8EB60C51,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0016,SongDB_v2/recordings.csv,Recording ID,R55C164D3451D,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0017,SongDB_v2/recordings.csv,Recording ID,R5D5C40A9E174,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0018,SongDB_v2/recordings.csv,Recording ID,R6CC0E912B062,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0019,SongDB_v2/recordings.csv,Recording ID,R706FA2B950DC,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0020,SongDB_v2/recordings.csv,Recording ID,R76A5B4950709,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0021,SongDB_v2/recordings.csv,Recording ID,R801DCA572936,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0022,SongDB_v2/recordings.csv,Recording ID,R910781BDA431,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0023,SongDB_v2/recordings.csv,Recording ID,RA2066FC7DC6C,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0024,SongDB_v2/recordings.csv,Recording ID,RAF111DC34DC1,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0025,SongDB_v2/recordings.csv,Recording ID,RAF14F6E55826,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0026,SongDB_v2/recordings.csv,Recording ID,RBA12AEED8474,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0027,SongDB_v2/recordings.csv,Recording ID,RCAA1B477EE29,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0028,SongDB_v2/recordings.csv,Recording ID,RDC68338E48D0,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0029,SongDB_v2/recordings.csv,Recording ID,RDF65E7D37A95,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0030,SongDB_v2/recordings.csv,Recording ID,RDF7FFFD0B598,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0031,SongDB_v2/recordings.csv,Recording ID,RE63BC6749889,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0032,SongDB_v2/recordings.csv,Recording ID,RE78307439C71,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0033,SongDB_v2/recordings.csv,Recording ID,REEF573637155,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0034,SongDB_v2/recordings.csv,Recording ID,RFF77C7D62C41,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
