Recording ID,Site,Verified URL,Search URL,Match Type,Confidence,Notes
R2DADA62F8959,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2Pac+California+Love+%28remix%29+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R2DADA62F8959,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2Pac+California+Love+%28remix%29+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,Requires exact title/artist match.
R2DADA62F8959,WhoSampled,,https://www.whosampled.com/search/?q=2Pac+California+Love+%28remix%29+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,Requires exact title/artist match.
R7537734D0B2C,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEI+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R7537734D0B2C,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEI+Mad+World,Search Query,Low,Requires exact title/artist match.
R7537734D0B2C,WhoSampled,,https://www.whosampled.com/search/?q=2WEI+Mad+World,Search Query,Low,Requires exact title/artist match.
R61C7D673F99B,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEI%2C+Tommee+Profitt+%26+Fleurie+Mad+World+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R61C7D673F99B,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEI%2C+Tommee+Profitt+%26+Fleurie+Mad+World+Mad+World,Search Query,Low,Requires exact title/artist match.
R61C7D673F99B,WhoSampled,,https://www.whosampled.com/search/?q=2WEI%2C+Tommee+Profitt+%26+Fleurie+Mad+World+Mad+World,Search Query,Low,Requires exact title/artist match.
R4B0D798262CE,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEITommee+Profitt+%26+Fleurie+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R4B0D798262CE,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEITommee+Profitt+%26+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
R4B0D798262CE,WhoSampled,,https://www.whosampled.com/search/?q=2WEITommee+Profitt+%26+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
R90C1530EB182,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEITommee+Profitt+feat.+Fleurie+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R90C1530EB182,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEITommee+Profitt+feat.+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
R90C1530EB182,WhoSampled,,https://www.whosampled.com/search/?q=2WEITommee+Profitt+feat.+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
