Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data
Cherry-coloured Funk,Cherry-coloured Funk,Cocteau Twins,,,,1990,,No,,,Book1.csv,"""Cherry-coloured Funk"" - Cocteau Twins (1990)"
Circle in the Sand,Circle in the Sand,Belinda Carlisle,,,,1987,,No,,,Book1.csv,"""Circle in the Sand"" - Belinda Carlisle (1987)"
Closer to Fine,Closer to Fine,Indigo Girls,,,,1989,,No,,,Book1.csv,"""Closer to Fine"" - Indigo Girls (1989)"
Cold,Cold,The Cure,,,,1982,,No,,,Book1.csv,"""Cold"" - The Cure (1982)"
Colorblind,Colorblind,Counting Crows,,,,1999,,No,,,Book1.csv,"""Colorblind"" - Counting Crows (1999)"
Come Back and Stay,Come Back and Stay,Paul Young,,,,1983,,No,,,Book1.csv,"""Come Back and Stay"" - Paul Young (1983)"
Come to My Window,Come to My Window,Melissa Etheridge,,,,1993,,No,,,Book1.csv,"""Come to My Window"" - Melissa Etheridge (1993)"
Come Undone,Come Undone,Duran Duran,,,,1993,,No,,,Book1.csv,"""Come Undone"" - Duran Duran (1993)"
Condemnation,Condemnation,Depeche Mode,,,,1993,,No,,,Book1.csv,"""Condemnation"" - Depeche Mode (1993)"
Cornflake Girl,Cornflake Girl,Tori Amos,,,,1994,,No,,,Book1.csv,"""Cornflake Girl"" - Tori Amos (1994)"
Creep,Creep,Radiohead,,,,1992,,No,,,Book1.csv,"""Creep"" - Radiohead (1992) (not assuming it's in your list)"
Criminal,Criminal,Fiona Apple,,,,1996,,No,,,Book1.csv,"""Criminal"" - Fiona Apple (1996)"
Crucify,Crucify,Tori Amos,,,,1992,,No,,,Book1.csv,"""Crucify"" - Tori Amos (1992)"
Crush,Crush,Jennifer Paige,,,,1998,,No,,,Book1.csv,"""Crush"" - Jennifer Paige (1998)"
Cuts Like a Knife,Cuts Like a Knife,Bryan Adams,,,,1983,,No,,,Book1.csv,"""Cuts Like a Knife"" - Bryan Adams (1983)"
Cuts You Up,Cuts You Up,Peter Murphy,,,,1990,,No,,,Book1.csv,"""Cuts You Up"" - Peter Murphy (1990)"
Disarm,Disarm,Smashing Pumpkins,,,,1993,,No,,,Book1.csv,"""Disarm"" - Smashing Pumpkins (1993)"
Disintegration,Disintegration,The Cure,,,,1989,,No,,,Book1.csv,"""Disintegration"" - The Cure (1989)"
Don't Dream It's Over,Don't Dream It's Over,Crowded House,,,,1986,,No,,,Book1.csv,"""Don't Dream It's Over"" - Crowded House (1986)"
Don't Speak,Don't Speak,No Doubt,,,,1995,,No,,,Book1.csv,"""Don't Speak"" - No Doubt (1995)"
Don't You (Forget About Me),Don't You (Forget About Me),Simple Minds,,,,1985,,No,,,Book1.csv,"""Don't You (Forget About Me)"" - Simple Minds (1985)"
Dreams,Dreams,The Cranberries,,,,1992,,No,,,Book1.csv,"""Dreams"" - The Cranberries (1992)"
Drive,Drive,R.E.M.,,,,1992,,No,,,Book1.csv,"""Drive"" - R.E.M. (1992)"
Drive,Drive,The Cars,,,,1984,,No,,,Book1.csv,"""Drive"" - The Cars (1984)"
Driving,Driving,Everything But The Girl,,,,1990,,No,,,Book1.csv,"""Driving"" - Everything But The Girl (1990)"
Enjoy the Silence,Enjoy the Silence,Depeche Mode,,,,1990,,No,,,Book1.csv,"""Enjoy the Silence"" - Depeche Mode (1990)"
Everlong,Everlong,Foo Fighters,,,Cover,1997,,Yes,,Foo Fighters,Book1.csv,"""Everlong"" - Foo Fighters (1997) (acoustic covers are huge)"
Every Breath You Take,Every Breath You Take,The Police,,,,1983,,No,,,Book1.csv,"""Every Breath You Take"" - The Police (1983)"
Everybody Hurts,Everybody Hurts,R.E.M.,,,,1992,,No,,,Book1.csv,"""Everybody Hurts"" - R.E.M. (1992)"
Everybody's Got to Learn Sometime,Everybody's Got to Learn Sometime,Beck version,,,,1993,,No,,,Book1.csv,"""Everybody's Got to Learn Sometime"" - Beck version (1993)"
Everybody's Got to Learn Sometime,Everybody's Got to Learn Sometime,The Korgis,,,,1980,,No,,,Book1.csv,"""Everybody's Got to Learn Sometime"" - The Korgis (1980)"
Fade Away,Fade Away,Mazzy Star,,,,1990,,No,,,Book1.csv,"""Fade Away"" - Mazzy Star (1990)"
Fade Into You,Fade Into You,Mazzy Star,,,,1993,,No,,,Book1.csv,"""Fade Into You"" - Mazzy Star (1993)"
Fast Car,Fast Car,Tracy Chapman,,,,1988,,No,,,Book1.csv,"""Fast Car"" - Tracy Chapman (1988)"
Fields of Gold,Fields of Gold,Sting,,,,1993,,No,,,Book1.csv,"""Fields of Gold"" - Sting (1993)"
Foolish Games,Foolish Games,Jewel,,,,1997,,No,,,Book1.csv,"""Foolish Games"" - Jewel (1997)"
Foolish Heart,Foolish Heart,The Mavericks,,,,1994,,No,,,Book1.csv,"""Foolish Heart"" - The Mavericks (1994)"
Forever Young,Forever Young,Alphaville,,,,1984,,No,,,Book1.csv,"""Forever Young"" - Alphaville (1984)"
Friday I'm in Love,Friday I'm in Love,The Cure,,,,1992,,No,,,Book1.csv,"""Friday I'm in Love"" - The Cure (1992)"
Frozen,Frozen,Madonna,,,,1998,,No,,,Book1.csv,"""Frozen"" - Madonna (1998)"
Galileo,Galileo,Indigo Girls,,,,1992,,No,,,Book1.csv,"""Galileo"" - Indigo Girls (1992)"
Glory Box,Glory Box,Portishead,,,,1994,,No,,,Book1.csv,"""Glory Box"" - Portishead (1994)"
Glory of Love,Glory of Love,Michelle Branch (cover friendly,,,Cover,,,Yes,,Michelle Branch (cover friendly,Book1.csv,"""Glory of Love"" - Michelle Branch (cover friendly"
Good Enough,Good Enough,Sarah McLachlan,,,,1993,,No,,,Book1.csv,"""Good Enough"" - Sarah McLachlan (1993)"
Guilty,Guilty,Gravity Kills,,,,,,No,,,Book1.csv,"""Guilty"" - Gravity Kills"
Gypsy,Gypsy,Fleetwood Mac,,,,1982,,No,,,Book1.csv,"""Gypsy"" - Fleetwood Mac (1982)"
Halah,Halah,Mazzy Star,,,,1990,,No,,,Book1.csv,"""Halah"" - Mazzy Star (1990)"
Hallelujah,Hallelujah,Jeff Buckley version,,,,1994,,No,,,Book1.csv,"""Hallelujah"" - Jeff Buckley version (1994)"
Halo,Halo,Depeche Mode,,,,1990,,No,,,Book1.csv,"""Halo"" - Depeche Mode (1990)"
Hands to Heaven,Hands to Heaven,Breathe,,,,1987,,No,,,Book1.csv,"""Hands to Heaven"" - Breathe (1987)"
Head Over Feet,Head Over Feet,Alanis Morissette,,,,1995,,No,,,Book1.csv,"""Head Over Feet"" - Alanis Morissette (1995)"
Head Over Heels,Head Over Heels,Tears for Fears,,,,1985,,No,,,Book1.csv,"""Head Over Heels"" - Tears for Fears (1985)"
Henry Lee,Henry Lee,Nick Cave & PJ Harvey,,,,1996,,No,,,Book1.csv,"""Henry Lee"" - Nick Cave & PJ Harvey (1996)"
High and Dry,High and Dry,Radiohead,,,,1995,,No,,,Book1.csv,"""High and Dry"" - Radiohead (1995)"
Higher Love,Higher Love,Steve Winwood,,,,1986,,No,,,Book1.csv,"""Higher Love"" - Steve Winwood (1986)"
Hold On,Hold On,Sarah McLachlan,,,,1993,,No,,,Book1.csv,"""Hold On"" - Sarah McLachlan (1993)"
Hold On,Hold On,Wilson Phillips,,,,1990,,No,,,Book1.csv,"""Hold On"" - Wilson Phillips (1990)"
Homesick,Homesick,The Cure,,,,1989,,No,,,Book1.csv,"""Homesick"" - The Cure (1989)"
Human Nature,Human Nature,Michael Jackson,,,,1982,,No,,,Book1.csv,"""Human Nature"" - Michael Jackson (1982)"
Hurt,Hurt,Nine Inch Nails,,,,1994,,No,,,Book1.csv,"""Hurt"" - Nine Inch Nails (1994)"
Hyperballad,Hyperballad,Björk,,,,1995,,No,,,Book1.csv,"""Hyperballad"" - Björk (1995)"
I Can't Tell You Why,I Can't Tell You Why,Eagles,,,,1980,,No,,,Book1.csv,"""I Can't Tell You Why"" - Eagles (1980)"
I Drove All Night,I Drove All Night,Cyndi Lauper,,,,1989,,No,,,Book1.csv,"""I Drove All Night"" - Cyndi Lauper (1989)"
I Get Weak,I Get Weak,Belinda Carlisle,,,,1988,,No,,,Book1.csv,"""I Get Weak"" - Belinda Carlisle (1988)"
I Love You Always Forever,I Love You Always Forever,Donna Lewis,,,,1996,,No,,,Book1.csv,"""I Love You Always Forever"" - Donna Lewis (1996)"
I Melt With You,I Melt With You,Modern English,,,,1982,,No,,,Book1.csv,"""I Melt With You"" - Modern English (1982)"
I'll Remember,I'll Remember,Madonna,,,,1994,,No,,,Book1.csv,"""I'll Remember"" - Madonna (1994)"
I'll Stand By You,I'll Stand By You,The Pretenders,,,,1994,,No,,,Book1.csv,"""I'll Stand By You"" - The Pretenders (1994)"
Iceblink Luck,Iceblink Luck,Cocteau Twins,,,,1990,,No,,,Book1.csv,"""Iceblink Luck"" - Cocteau Twins (1990)"
If You Could Only See,If You Could Only See,Tonic,,,,1996,,No,,,Book1.csv,"""If You Could Only See"" - Tonic (1996)"
If You Leave,If You Leave,Orchestral Manoeuvres in the Dark,,,,1986,,No,,,Book1.csv,"""If You Leave"" - Orchestral Manoeuvres in the Dark (1986)"
In a Big Country,In a Big Country,Big Country,,,,1983,,No,,,Book1.csv,"""In a Big Country"" - Big Country (1983)"
In the Air Tonight,In the Air Tonight,Phil Collins,,,,1981,,No,,,Book1.csv,"""In the Air Tonight"" - Phil Collins (1981)"
Insensitive,Insensitive,Jann Arden,,,,1994,,No,,,Book1.csv,"""Insensitive"" - Jann Arden (1994)"
Interstate Love Song,Interstate Love Song,Stone Temple Pilots,,,,1994,,No,,,Book1.csv,"""Interstate Love Song"" - Stone Temple Pilots (1994)"
Into Dust,Into Dust,Mazzy Star,,,,1993,,No,,,Book1.csv,"""Into Dust"" - Mazzy Star (1993)"
Into My Arms,Into My Arms,Nick Cave,,,,1997,,No,,,Book1.csv,"""Into My Arms"" - Nick Cave (1997)"
Into the Fire,Into the Fire,Sarah McLachlan,,,,1988,,No,,,Book1.csv,"""Into the Fire"" - Sarah McLachlan (1988)"
Iris,Iris,Goo Goo Dolls,,,,1998,,No,,,Book1.csv,"""Iris"" - Goo Goo Dolls (1998)"
Ironic,Ironic,Alanis Morissette,,,,1995,,No,,,Book1.csv,"""Ironic"" - Alanis Morissette (1995)"
Jeremy,Jeremy,Pearl Jam,,,,1991,,No,,,Book1.csv,"""Jeremy"" - Pearl Jam (1991)"
Karma Police,Karma Police,Radiohead,,,,1997,,No,,,Book1.csv,"""Karma Police"" - Radiohead (1997)"
Karmacoma,Karmacoma,Massive Attack,,,,1994,,No,,,Book1.csv,"""Karmacoma"" - Massive Attack (1994)"
King of Pain,King of Pain,The Police,,,,1983,,No,,,Book1.csv,"""King of Pain"" - The Police (1983)"
Kiss From a Rose,Kiss From a Rose,Seal,,,,1994,,No,,,Book1.csv,"""Kiss From a Rose"" - Seal (1994)"
Kiss Me,Kiss Me,Sixpence None the Richer,,,,1997,,No,,,Book1.csv,"""Kiss Me"" - Sixpence None the Richer (1997)"
Kiss the Rain,Kiss the Rain,Billie Myers,,,,1997,,No,,,Book1.csv,"""Kiss the Rain"" - Billie Myers (1997)"
Landslide,Landslide,Fleetwood Mac (1975,,,,1975,,No,,,Book1.csv,"""Landslide"" - Fleetwood Mac (1975"
Let's Go Out Tonight,Let's Go Out Tonight,The Blue Nile,,,,1990,,No,,,Book1.csv,"""Let's Go Out Tonight"" - The Blue Nile (1990)"
Lightning Crashes,Lightning Crashes,Live,,,,1994,,No,,,Book1.csv,"""Lightning Crashes"" - Live (1994)"
Linger,Linger,The Cranberries,,,,1993,,No,,,Book1.csv,"""Linger"" - The Cranberries (1993)"
Lorelei,Lorelei,Cocteau Twins,,,,1984,,No,,,Book1.csv,"""Lorelei"" - Cocteau Twins (1984)"
Losing My Religion,Losing My Religion,R.E.M.,,,,1991,,No,,,Book1.csv,"""Losing My Religion"" - R.E.M. (1991)"
Love Is a Battlefield,Love Is a Battlefield,Pat Benatar,,,,1983,,No,,,Book1.csv,"""Love Is a Battlefield"" - Pat Benatar (1983)"
Love Is Stronger Than Death,Love Is Stronger Than Death,The The,,,,1993,,No,,,Book1.csv,"""Love Is Stronger Than Death"" - The The (1993)"
Love Song for a Vampire,Love Song for a Vampire,Annie Lennox,,,,1992,,No,,,Book1.csv,"""Love Song for a Vampire"" - Annie Lennox (1992)"
Love Song,Love Song,The Cure,,,,1989,,No,,,Book1.csv,"""Love Song"" - The Cure (1989)"
Love Will Tear Us Apart,Love Will Tear Us Apart,Joy Division,,,,1980,,No,,,Book1.csv,"""Love Will Tear Us Apart"" - Joy Division (1980)"
Love... Thy Will Be Done,Love... Thy Will Be Done,Martika,,,,1991,,No,,,Book1.csv,"""Love... Thy Will Be Done"" - Martika (1991)"
Lovefool,Lovefool,The Cardigans,,,,1996,,No,,,Book1.csv,"""Lovefool"" - The Cardigans (1996)"
Mad World,Mad World,Tears for Fears,,,Cover,1982,,Yes,,Tears for Fears,Book1.csv,"""Mad World"" - Tears for Fears (1982) The Gary Jules cover proves how well it transforms."
Man in the Mirror,Man in the Mirror,Michael Jackson,,,,1987,,No,,,Book1.csv,"""Man in the Mirror"" - Michael Jackson (1987)"
Mercy Street,Mercy Street,Peter Gabriel,,,,1986,,No,,,Book1.csv,"""Mercy Street"" - Peter Gabriel (1986)"
Missing,Missing,Everything But The Girl,,,,1994,,No,,,Book1.csv,"""Missing"" - Everything But The Girl (1994)"
More Than This,More Than This,Wolf Alice,,,,,,No,,,Book1.csv,"""More Than This"""
More Than This,More Than This,Roxy Music,,,,1982,,No,,,Book1.csv,"""More Than This"" - Roxy Music (1982)"
Mysteries of Love,Mysteries of Love,Julee Cruise,,,,1986,,No,,,Book1.csv,"""Mysteries of Love"" - Julee Cruise (1986)"
Name,Name,Goo Goo Dolls,,,,1995,,No,,,Book1.csv,"""Name"" - Goo Goo Dolls (1995)"
Never Tear Us Apart,Never Tear Us Apart,INXS,,,,1988,,No,,,Book1.csv,"""Never Tear Us Apart"" - INXS (1988)"
Nightswimming,Nightswimming,R.E.M.,,,,1992,,No,,,Book1.csv,"""Nightswimming"" - R.E.M. (1992)"
No Ordinary Love,No Ordinary Love,Sade,,,,1992,,No,,,Book1.csv,"""No Ordinary Love"" - Sade (1992)"
No Rain,No Rain,Blind Melon,,,,1992,,No,,,Book1.csv,"""No Rain"" - Blind Melon (1992)"
No Surprises,No Surprises,Radiohead,,,,1997,,No,,,Book1.csv,"""No Surprises"" - Radiohead (1997)"
Nothing Compares 2 U,Nothing Compares 2 U,Sinéad O'Connor,,,,1990,,No,,,Book1.csv,"""Nothing Compares 2 U"" - Sinéad O'Connor (1990)"
Nothing Else Matters,Nothing Else Matters,Metallica,,,,1991,,No,,,Book1.csv,"""Nothing Else Matters"" - Metallica (1991)"
Nothing's Gonna Stop Us Now,Nothing's Gonna Stop Us Now,Starship,,,,1987,,No,,,Book1.csv,"""Nothing's Gonna Stop Us Now"" - Starship (1987)"
Ode to My Family,Ode to My Family,The Cranberries,,,,1994,,No,,,Book1.csv,"""Ode to My Family"" - The Cranberries (1994)"
One Caress,One Caress,Depeche Mode,,,,1993,,No,,,Book1.csv,"""One Caress"" - Depeche Mode (1993)"
Only You,Only You,Yazoo,,,,1982,,No,,,Book1.csv,"""Only You"" - Yazoo (1982)"
Ordinary World,Ordinary World,Duran Duran,,,,1993,,No,,,Book1.csv,"""Ordinary World"" - Duran Duran (1993)"
Pensacola,Pensacola,Joan Osborne,,,,1995,,No,,,Book1.csv,"""Pensacola"" - Joan Osborne (1995)"
Personal Jesus,Personal Jesus,Depeche Mode,,,,1989,,No,,,Book1.csv,"""Personal Jesus"" - Depeche Mode (1989)"
Pictures of You,Pictures of You,The Cure,,,,1989,,No,,,Book1.csv,"""Pictures of You"" - The Cure (1989)"
Plush,Plush,Stone Temple Pilots,,,,1992,,No,,,Book1.csv,"""Plush"" - Stone Temple Pilots (1992)"
Policy of Truth,Policy of Truth,Depeche Mode,,,,1990,,No,,,Book1.csv,"""Policy of Truth"" - Depeche Mode (1990)"
Possession,Possession,Sarah McLachlan,,,,1993,,No,,,Book1.csv,"""Possession"" - Sarah McLachlan (1993)"
Possibly Maybe,Possibly Maybe,Björk,,,,1995,,No,,,Book1.csv,"""Possibly Maybe"" - Björk (1995)"
Protection,Protection,Everything But The Girl version,,,,1994,,No,,,Book1.csv,"""Protection"" - Everything But The Girl version (1994)"
Protection,Protection,Massive Attack,,,,1994,,No,,,Book1.csv,"""Protection"" - Massive Attack (1994)"
Protection,Protection,Massive Attack ft. Tracey Thorn,,,,1994,,No,,,Book1.csv,"""Protection"" - Massive Attack ft. Tracey Thorn (1994)"
Rain,Rain,Madonna,,,,1992,,No,,,Book1.csv,"""Rain"" - Madonna (1992)"
Ribbons,Ribbons,Sisters of Mercy,,,,1990,,No,,,Book1.csv,"""Ribbons"" - Sisters of Mercy (1990)"
Right Beside You,Right Beside You,Sophie B. Hawkins,,,,1994,,No,,,Book1.csv,"""Right Beside You"" - Sophie B. Hawkins (1994)"
Right Here Waiting,Right Here Waiting,Richard Marx,,,,1989,,No,,,Book1.csv,"""Right Here Waiting"" - Richard Marx (1989)"
Rite of Shiva,Rite of Shiva,Machines of Loving Grace,,,,,,No,,,Book1.csv,"""Rite of Shiva"" - Machines of Loving Grace"
Roads,Roads,Portishead,,,,1994,,No,,,Book1.csv,"""Roads"" - Portishead (1994)"
Rosanna,Rosanna,Toto,,,,1982,,No,,,Book1.csv,"""Rosanna"" - Toto (1982)"
Round Here,Round Here,Counting Crows,,,,1993,,No,,,Book1.csv,"""Round Here (acoustic)"" - Counting Crows (1993)"
Runaway Train,Runaway Train,Soul Asylum,,,,1993,,No,,,Book1.csv,"""Runaway Train"" - Soul Asylum (1993)"
Runaway,Runaway,Janet Jackson,,,,1995,,No,,,Book1.csv,"""Runaway"" - Janet Jackson (1995)"
Running Up That Hill,Running Up That Hill,Kate Bush,,,,1985,,No,,,Book1.csv,"""Running Up That Hill"" - Kate Bush (1985)"
San Jacinto,San Jacinto,Peter Gabriel,,,,1982,,No,,,Book1.csv,"""San Jacinto"" - Peter Gabriel (1982)"
Sara,Sara,Fleetwood Mac,,,,1980,,No,,,Book1.csv,"""Sara"" - Fleetwood Mac (1980)"
Save a Prayer,Save a Prayer,Duran Duran,,,,1982,,No,,,Book1.csv,"""Save a Prayer"" - Duran Duran (1982)"
Say It Ain't So,Say It Ain't So,Weezer,,,,1994,,No,,,Book1.csv,"""Say It Ain't So"" - Weezer (1994)"
Say Yes,Say Yes,Elliott Smith,,,,1997,,No,,,Book1.csv,"""Say Yes"" - Elliott Smith (1997)"
Secret,Secret,Madonna,,,,1994,,No,,,Book1.csv,"""Secret"" - Madonna (1994)"
Send Me an Angel,Send Me an Angel,Real Life,,,,1983,,No,,,Book1.csv,"""Send Me an Angel"" - Real Life (1983)"
Shadowboxer,Shadowboxer,Fiona Apple,,,,1996,,No,,,Book1.csv,"""Shadowboxer"" - Fiona Apple (1996)"
Shape of My Heart,Shape of My Heart,Sting,,,,1993,,No,,,Book1.csv,"""Shape of My Heart"" - Sting (1993)"
Shattered Dreams,Shattered Dreams,Johnny Hates Jazz,,,,1987,,No,,,Book1.csv,"""Shattered Dreams"" - Johnny Hates Jazz (1987)"
Silent All These Years,Silent All These Years,Tori Amos,,,,1992,,No,,,Book1.csv,"""Silent All These Years"" - Tori Amos (1992)"
Sin,Sin,Nine Inch Nails,,,,,,No,,,Book1.csv,"""Sin"" - Nine Inch Nails"
Slave to Love,Slave to Love,Bryan Ferry,,,,,,No,,,Book1.csv,"""Slave to Love"""
Sleeping Satellite,Sleeping Satellite,Tasmin Archer,,,,1992,,No,,,Book1.csv,"""Sleeping Satellite"" - Tasmin Archer (1992)"
Smooth Operator,Smooth Operator,Sade,,,,1984,,No,,,Book1.csv,"""Smooth Operator"" - Sade (1984)"
Somebody to Love,Somebody to Love,George Michael (1992 live),,,,1992,,No,,,Book1.csv,"""Somebody to Love"" - George Michael (1992 live)"
Something About You,Something About You,Level 42,,,,1985,,No,,,Book1.csv,"""Something About You"" - Level 42 (1985)"
Sour Times,Sour Times,Portishead,,,,1994,,No,,,Book1.csv,"""Sour Times"" - Portishead (1994)"
Sowing the Seeds of Love,Sowing the Seeds of Love,Tears for Fears,,,,1989,,No,,,Book1.csv,"""Sowing the Seeds of Love"" - Tears for Fears (1989)"
St. Teresa,St. Teresa,Joan Osborne,,,,1995,,No,,,Book1.csv,"""St. Teresa"" - Joan Osborne (1995)"
Stay (I Missed You),Stay (I Missed You),Lisa Loeb,,,,1994,,No,,,Book1.csv,"""Stay (I Missed You)"" - Lisa Loeb (1994)"
Stay,Stay,Lisa Loeb,,,,1994,,No,,,Book1.csv,"""Stay"" - Lisa Loeb (1994) (not previously listed in female only batch)"
Stay,Stay,Shakespears Sister,,,,1992,,No,,,Book1.csv,"""Stay"" - Shakespears Sister (1992)"
Strangelove,Strangelove,Depeche Mode,,,,1987,,No,,,Book1.csv,"""Strangelove"" - Depeche Mode (1987)"
Street Spirit (Fade Out),Street Spirit (Fade Out),Radiohead,,,,1995,,No,,,Book1.csv,"""Street Spirit (Fade Out)"" - Radiohead (1995)"
Sullen Girl,Sullen Girl,Fiona Apple,,,,1996,,No,,,Book1.csv,"""Sullen Girl"" - Fiona Apple (1996)"
Sunny Came Home,Sunny Came Home,Shawn Colvin,,,,1997,,No,,,Book1.csv,"""Sunny Came Home"" - Shawn Colvin (1997)"
Swamp Thing,Swamp Thing,The Chameleons,,,,,,No,,,Book1.csv,"""Swamp Thing"" - The Chameleons"
Sweetest Taboo,Sweetest Taboo,Sade,,,,1985,,No,,,Book1.csv,"""Sweetest Taboo"" - Sade (1985)"
Take On Me,Take On Me,a ha,,,,1985,,No,,,Book1.csv,"""Take On Me"" - a ha (1985)"
Teardrop,Teardrop,Massive Attack,,,,1998,,No,,,Book1.csv,"""Teardrop"" - Massive Attack (1998)"
Tears Dry on Their Own,Tears Dry on Their Own,Amy Winehouse,,,,2006,,No,,,Book1.csv,"""Tears Dry on Their Own"" - Amy Winehouse (2006) (technically 2000s"
Teclo,Teclo,PJ Harvey,,,,1995,,No,,,Book1.csv,"""Teclo"" - PJ Harvey (1995)"
Thank U,Thank U,Alanis Morissette,,,,1998,,No,,,Book1.csv,"""Thank U"" - Alanis Morissette (1998)"
The Chauffeur,The Chauffeur,Duran Duran,,,,1982,,No,,,Book1.csv,"""The Chauffeur"" - Duran Duran (1982)"
The Downtown Lights,The Downtown Lights,Duran Duran,,,,,,No,,,Book1.csv,"""The Downtown Lights"""
The Downtown Lights,The Downtown Lights,The Blue Nile,,,,1989,,No,,,Book1.csv,"""The Downtown Lights"" - The Blue Nile (1989)"
The Drowning Man,The Drowning Man,The Cure,,,,1981,,No,,,Book1.csv,"""The Drowning Man"" - The Cure (1981)"
The Freshmen,The Freshmen,The Verve Pipe,,,,1996,,No,,,Book1.csv,"""The Freshmen"" - The Verve Pipe (1996)"
The Golden Age,The Golden Age,Beck,,,,1999,,No,,,Book1.csv,"""The Golden Age"" - Beck (1999)"
The Host of Seraphim,The Host of Seraphim,Dead Can Dance,,,,1988,,No,,,Book1.csv,"""The Host of Seraphim"" - Dead Can Dance (1988)"
The Killing Moon,The Killing Moon,Echo & The Bunnymen,,,,1984,,No,,,Book1.csv,"""The Killing Moon"" - Echo & The Bunnymen (1984)"
The Night,The Night,Morphine,,,,1995,,No,,,Book1.csv,"""The Night"" - Morphine (1995)"
