Song ID,Canonical Title,Canonical Artist,MusicBrainz Work ID,Primary Recording ID,Preferred Primary Release,First Published Year,Genre Family,Default Mood Tags,Default Event Tags,Default Situation Tags,Notes
S1A3AB15FEE1B,Perfect Speed,13 And God,,R89B7F97DB30D,13 And God,2005.0,Pandora Chill,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SC9B372D3A35F,Get Ready for This (radio edit),2 Unlimited,,RA4E6F31846F8,Pulse,1991.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SAB47F75162DF,Todd Clouser's A Love Electric,20th Century Folk Selections feat. 4:33,,RDE87F22F8FCE,20th Century Folk Selections,2012.0,Jazz,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S6AE71FDBE5F9,California Love,2Pac,,R1CD0A2311576,20 Years on MTV: 1996,1996.0,Hip-Hop/Rap,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4B11C9546777,California Love (remix),2Pac,,R2DADA62F8959,All Eyez on Me,1995.0,Hip-Hop/Rap,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S29D370C5CB84,Mad World,2WEI,,R7537734D0B2C,Tommee Profitt Fleurie,2022.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S22A73FDD9DCB,Mad World,"2WEI, Tommee Profitt & Fleurie Mad World",,R61C7D673F99B,Mad World - Single,2022.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S84AD74093D6F,Mad World,2WEITommee Profitt & Fleurie,,R4B0D798262CE,Mad World (Cover Nominees),2024.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S9388055739FC,Mad World,2WEITommee Profitt feat. Fleurie,,R90C1530EB182,Mad World,2022.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1C8D984C259E,Kryptonite,3 Doors Down,,RFFD6980B73DC,The Better Life,2000.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S70BF4176F564,Surround Me With Your Love (Mental Overdrive remix),3-11 Porter,,R5DEDEF89B35C,& Hôtel Costes Hôtel Costes 6,2005.0,Trip-Hop,Party; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S5E024B6F532E,Surround me with your love (Mental Overdrive remix),"3-11 Porter, Hôtel Costes",,REB794EBC1CFC,Hôtel Costes 6,1998.0,Lounge,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S77609A68E263,Caught Up in You,38 Special,,R154ECEB8149C,Anthology,1982.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3F184A820BDD,867 5309 / Jenny,3Teeth,,R57F5535B6EDF,,,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S8D7F631A599C,Atrophy,3Teeth,,RD2751E899BED,Shutdown.ɘxe,2017.0,Metal,Intense; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF10C8CF1E6D6,Shutdown,3Teeth,,RE56B51D6F9A8,Shutdown.ɘxe,2017.0,Metal,Intense; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S8F5BBEFCA4BE,Les Fleurs,4 Hero,,R415B586004F5,Creating Patterns,2001.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF35C72413148,Morning Child - Radio Edit,4 Hero,,R156F61BAE781,Don't You Worry Child (feat. John Martin) - EP,2012.0,"Trip-Hop ""
40 Winks",,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S12DC35806B16,What's Up?,4 Non Blondes,,R21977FFE894F,"Bigger, Better, Faster, More !",1992.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S74184E649523,melancholia,40 Winks,,R27475CDC4A0B,Extended Pleasure,2007.0,Hip-Hop/Rap,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S227213A89C6C,Melancholia (Bonus),40 Winks,,R088ACC2F791D,"Café del Mar, Vol. 24",2007.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S062F77AAB5DB,Missing,48th St. Collective,,R40C6EED4BAF1,Jazz and 90s,2006.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S2A7A727F881D,Missing,48th St. Collective & Jazz and 90s,,RA28E2651793E,3:44,2006.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SEDF056DF68B4,Missing,48th St. Collective feat. Jazz and 90s,,R500C3E9D92AF,Jazz and '90s,2006.0,Jazz,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S147AA02D1927,Don't Stop,5 Seconds of Summer,,RD520594948A3,5 Seconds of Summer,2014.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S793EE1041C42,No Roots,5 Seconds of Summer,,R9F474D230A26,Youngblood (Deluxe),2018.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3F34560904F4,No Roots,5 Seconds of Summer - No Roots (Alice Merton Cover) in the Live Lounge,,R08E603A78AF7,BBCRadio1VEVO,2016.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S9517BE10758C,Games People Play,51.50 Illegally Insane,,R33528A54204F,Games People Play / Crazy Has Stuck Again,1992.0,Hip-Hop/Rap,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SAB1AF82A80F8,6 Underground,6 Underground - Sneaker Pimps (Drum and Bass Remix) - Beyond Hyperion,,R3712778E606C,Beyond Hyperion,1996.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SE8388A03ADF0,Paint It Black,6Th Finger,,RF25638B20564,Bossa N Stones Vol 2,2014.0,Pandora Chill,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB6C7D40D31E0,Give a Little Bit,70s Dj Picks I Love The 70s,,R099E2B2C7B6B,A Little Bit of Mambo,1999.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SE542E9386566,Pyrokinesis,7Chariot,,RC53A3E24D3B1,Pyrokinesis,2017.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S77E923DE6816,Girls Just Want to Have Fun,80's Greatest Hits,,R490E2BED5798,The 80's Greatest Hits: Pop Music (Classics),2020.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S16D45D4300B7,Cubik,808 State,,RA2965729D863,808:88:98: 10 Years of 808 State,1989.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SFD478C191C7F,Angel,8mm,,RD180CD35E26A,Songs to Love and Die By,2006.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SE38C70F444F0,Around the Sun,8mm,,R579DEE10BD80,Between the Devil and Two Black Hearts,2012.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S8B9F4CFCEE01,Give It Up,8mm,,R41282D10D70C,Opener EP,2006.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S31890CF16A87,Never Enough,8mm,,RBD6BC290DA6C,Songs to Love and Die By,2006.0,Trip-Hop,Chill; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S34718DA88325,Nothing Left to Lose,8mm,,R7A34CCE78189,Opener EP,2004.0,Trip-Hop,Chill; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S37199EAC7392,Opener,8mm,,R9490649889CA,Opener EP,2020.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1C27A02C73D6,Black Jesus,9 Lazy 9,,RAB516484B56E,Paradise Blown,1994.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3E103E8B81D7,Brothers of the Red,9 Lazy 9,,R942B9D8EAC9D,Paradise Blown,1994.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S490DC6F15C2D,Electric Lazyland,9 Lazy 9,,R1C05B554794E,Electric Lazyland,1994.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S87F1AB264ABF,Keep Going Daddy,9 Lazy 9,,R56318473BDB0,Sweet Jones,2003.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S085E74F6A619,Take Nine,9 Lazy 9,,R8D400B7FAD8D,Paradise Blown,1994.0,Trip-Hop,Chill; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S9AA7A9839EBA,Tumbleweed,9 Lazy 9,,R1156F0A7A858,Sweet Jones,2003.0,Trip-Hop,Chill; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S15F067EE0627,All I Need,[re:jazz],,REA7140034568,Point of View,2001.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S8528E265CA08,Gabrielle,[re:jazz],,R5ED855E1042C,Best of Lounge Music,2006.0,Jazz,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S6F889E18F3A3,Another One Bites the Dust,[unknown],,R18A6EEA3EE2C,Chill Out Tribute to Queen,1993.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S73CB40B3316F,Space Age Love Song,A Flock of Seagulls A Flock of Seagulls,,R4F44CCA06BA8,A Flock of Seagulls,1982.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S83C0E0819AA6,I Ran (So Far Away),A Flock of Seagulls We Are the '80s,,RC5E57D2E6865,We Are the '80s,1982.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S641AF4AF48BB,Everything,A Forest Mighty Black,,R82FF33EF14BE,Mellowdramatic (Playlist: lounge),2017.0,lounge,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S10CD37E1D26F,Minigame,A Forest Mighty Black,,RF439D97ED8C2,Mellowdramatic,1997.0,Trip-Hop,Chill; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S643D5F95C0B7,Rebirth,A Forest Mighty Black,,R61EAA8723787,Mellowdramatic,1997.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3B0E0686FF70,Tides,A Forest Mighty Black,,RD9F6E7F9E31D,Mellowdramatic,1996.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SBCD99B742F5C,Till the End,A Forest Mighty Black,,R63496DDD0707,Mellowdramatic,1997.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SEFA7FC5B0D06,Fever (Black Dog mix),A Guy Called Gerald,,R0B616599B905,Erotic Lounge,1995.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S6AFF325AC9DB,Take On Me,a ha,,R852D6250C619,Crazy Times: 80s Music Videos,1985.0,Electronic,Party; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1F10438663DB,The Sun Always Shines on TV,a ha,,R3C02479112C1,Hunting High and Low,1985.0,Electronic,Party; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S59FA7B30F23A,"Lisa Hannigan - ""Glory Box"" (cover Portishead)",A P E S T A,,R22C07175DA5F,Roseland NYC Live,1998.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3517DC16316F,Judith,A Perfect Circle,,R2FC41E160B90,Mer De Noms,2000.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SEF314EF67E73,Dead Man's Party,A Thorn for Every Heart,,R90D91DB96965,Punk Goes 80's,2005.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S7F7884BFC055,Around the World (La La La La La),A Touch of Class Planet Pop,,RED0481723032,Planet Pop,2000.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S69048BF7FF6B,Take On Me (MTV Unplugged),a-ha,,R88D9066B2737,MTV Unplugged - Summer Solstice,2017.0,Pop,Party; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3159530C8349,Take On Me (MTV Unplugged),a-ha & MTV Unplugged - Summer Solstice,,RF287ACFA3548,4:14,2017.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S38C0CD5A331B,Take on Me,a-ha (MTV Unplugged) (This is their own song),,RAD3BF0A8F0A2,MTV Unplugged - Summer Solstice,2017.0,Pop,Party; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SE27CDB8A71A1,Take On Me (MTV Unplugged),a-ha feat. MTV Unplugged - Summer Solstice,,R2282E4333A82,MTV Unplugged - Summer Solstice,2017.0,Pop,Party; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S889993838725,A Love from Outer Space,A.R. Kane,,R564A60AC896B,I,1989.0,Alternative,Intense; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S75BF24CFD95C,Dancing Queen (Pierre J's main radio mix),A?Teens,,R4A0754747358,Dancing Queen,2000.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1A17ACCA8024,Every Breath You Take,Aaron Krause,,R51635382B7F8,Every Breath You Take,2013.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4CAD29047AD6,Every Breath You Take,Aaron Krause & Every Breath You Take,,R7DE906A892BA,3:44,2013.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S2E3979FDC317,Every Breath You Take,Aaron Krause feat. Every Breath You Take,,R73D5A10EB4D4,Every Breath You Take (feat. Liza Anne) - Single,2013.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S01A6CC5412CE,Every Breath You Take,Aaron Krause feat. Liza Anne,,R44D82B4E4DE3,Every Breath You Take (feat. Liza Anne) - Single,2013.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S55CE534B0F93,Every Breath You Take,"Aaron Krause, Liza Anne",,R57ACDC5E71CF,Every Breath You Take (feat. Liza Anne),2024.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S94B1AEEE27C7,Black,Aaron Lewis,,RABCAB3574082,The Family Values Tour 2001,2001.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SCDF6D8A458AE,Everybody Plays the Fool,Aaron Neville,,RA0AFE4E1E37E,Warm Your Heart,1991.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S5233A830070D,Rainbow Warrior,Abakus,,RCF79939CBC80,Multiple Organisms - Compiled By Earthling,2006.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SFBA379C6DBDC,Dancing Queen,ABBA,,R08708AD9F7E5,The Singles: The First Ten Years,1976.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4502EEAB6FF5,Mamma Mia,ABBA,,R12952632D24F,ABBA (Bonus Track Version),1975.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S93B46E625B40,Be Near Me,ABC,,R290FD7B77434,Look of Love: The Very Best of ABC,1990.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SED6DD8E53681,How To Be A Millionaire,ABC,,R0706BE44C83D,How To Be A Zillionaire,1985.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SBCDD783DA35E,Poison Arrow,ABC,,RD653C6ED81E8,The Lexicon Of Love (Deluxe Edition) (Playlist: Liked videos),2017.0,Liked videos,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB79C5FED93A7,"The Look Of Love, Pt.1",ABC,,RED307F51DF5E,The Lexicon Of Love,2026.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S46E323645728,"The Look Of Love, Pt.1 (Steven Wilson Stereo Mix / 2022)",ABC,,REC986F721B91,The Lexicon Of Love,2022.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3D002D4C4D9F,The xx - Crystalised (Cover by Abi Sampa - The Voice UK),Abi Sampa,,R955C81BCD9B5,xx,2009.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S70D80F2D1707,Blue Monday,Above & Beyond,,R9D799C64ACFB,"Blue Monday (Playlist: And now, a new take on an old theme)",2020.0,"And now, a new take on an old theme",,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S85E7B2D9491D,Waves,Abroad,,RDAC4923BE558,Waves,2021.0,House,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S9C0049074162,"Baby, Please Don't Go",AC/DC,,RA5F594B37D3C,High Voltage,1974.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SDEDB658F59A7,Back In Black,AC/DC,,RAAF28C21EB23,Back In Black,1980.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4E8B09CD9D99,Big Balls,AC/DC,,R10C1A6C85D3E,Greatest Hell's Hits,1976.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S6850C343424A,Dirty Deeds Done Dirt Cheap,AC/DC,,R31EEB729A53C,Dirty Deeds Done Dirt Cheap,1976.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4B201909F024,For Those About to Rock (We Salute You),AC/DC,,R8C710BC5466F,Greatest Hell's Hits,1981.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SDBF82C7880FE,Highway to Hell,AC/DC,,R93F360FF9B0C,Highway to Hell,1979.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S0AB2BE5E1B0D,T.N.T.,AC/DC,,RA1231C9EAF78,High Voltage,1975.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB8E359F04608,Thunderstruck,AC/DC,,RC98FB126F94C,The Razors Edge,1990.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S14781B8C01A3,You Shook Me All Night Long,AC/DC,,RD52BB160C5CC,Back In Black,2004.0,Hard Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3B14AECE3E7F,All That She Wants,Ace of Base,,R14113040B7F1,Singles of the 90s,1992.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1CC3D6957F43,Don't Turn Around,Ace of Base,,RDBA6C9BAABC7,The Sign,1993.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S34C474F6EA60,Another Brick in the Wall,Acid Drinkers,,REA33913C17BA,The Metal Museum: Covered in Metal 2,2008.0,Death Metal/Black Metal,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S25DB30BC616E,Down in It,Acoustic Hits,,R4F56B6AA2566,Acoustic Hits: A Tribute to Nine Inch Nails (Cover Nominees),2025.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF14407D7A7E5,Pumped Up Kicks (Acoustic Bossa Version) [Foster the People Cover],Acoustic Hits,,RE037FC5676D2,"Acoustified Hits, Vol. 7 (Cover Nominees)",2025.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3AE2E6E8956A,Friends of Father,Ad-ver-sary,,RF8E123803947,Bone Music,2008.0,Trip-Hop,Chill; Medium,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3215224DFF8C,Desperate but Not Serious,Adam Ant,,RE51A051ACDF9,Friend Or Foe,2003.0,rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SE647E9FB9C9F,Goody Two Shoes,Adam Ant,,R6A14175AE372,Friend Or Foe,1994.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SBE00FBF03079,Goody Two Shoes (Chris Huges  Single Version),Adam Ant,,RDF7FFFD0B598,Friend Or Foe,1982.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S792F5359D4AD,Strip (Single Version),Adam Ant,,RD2774C5C214F,Strip,2003.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF635B0C99B39,Gifts To Your Future Self - Solo Guitar Version,Adam Dodson,,R1F1B1D6F7BC5,Gifts To Your Future Self,2024.0,Instrumental,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SD8B5B4F07987,Dirty Harry (Grooverider remix),Adam F,,R3944C024060F,"Science Fiction Jazz, Volume 3",2017.0,Jungle/Drum'n'bass,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB2E7D0B7E064,Music In My Mind,Adam F,,R9EB542CFD521,Yoshiesque,1999.0,Trip-Hop,Chill; High,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S05ABBCBABB30,Purple Rain,Adam Levine,,R725EABE5B7E2,"2014-01-31: Howard Stern Birthday Bash: Hammerstein Ballroom, New York, NY, USA",2014.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SFE9A988649E4,Purple Rain,Adam Levine Performs,,R85E08CDF84F2,The Howard Stern Show at the Howard Stern Birthday Bash on SiriusXM,1984.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SC22E06951914,Purple Rain,Adam Levine The Howard Stern Show,,R1B27C390BD26,Purple Rain (Deluxe Expanded Edition),2017.0,Cover,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S2A41D1227493,Chasing Pavements,Adele,,R3256310B50CA,2009 GRAMMY Nominees,2009.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S98CDBBF38A46,Don't You Remember,Adele,,RB70E40C0E803,21,2011.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SAC662CD18DC2,Don't You Remember (live acoustic),Adele,,R8AB5D6EB04BF,21,2011.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1B6321196B50,Lovesong,Adele,,R2616401C6331,21,2011.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S5B076666E7D6,Rolling in the Deep,Adele,,R337B6A358AEB,21,2010.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SFF649268540E,Lovesong,Adele & 21,,REB973EDAA475,5:17,2011.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S7F69A877C3D4,Lovesong,Adele feat. 21,,RF5F1F519E075,21,2011.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S6AF3F4E8CF11,Your Love,Adina V,,R8B6EF16A5D5E,Your Love,2022.0,Singer/Songwriter,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SEFAE908CBF22,Your Love,Adina V & The Acoustic Room,,R3EA0A0C928F7,Your Love (Cover Nominees),2023.0,Singer/Songwriter,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S5BF1F8A99E89,Your Love,Adina V & Your Love,,RDCB827FC18E9,2:35,2022.0,Singer/Songwriter,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SA53B0E8914D6,Your Love,Adina V feat. Your Love,,RD824DCDCD0CD,Your Love - Single,2022.0,Singer/Songwriter,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SCB8F1FC3F96E,Talking in Your Sleep,Adona,,R6E54589EA0CA,Talking in Your Sleep (Cover Nominees),2025.0,Alternative,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
