Status,Active CSV Line,Title,Artist,Album,Spotify ID,Spotify Track ID
safe_to_copy_spotify_id_to_spotify_track_id,40,Games People Play,51.50 Illegally Insane,Games People Play / Crazy Has Stuck Again,6uLDYzzjAcmJyppvLUs6KC,
safe_to_copy_spotify_id_to_spotify_track_id,44,Pyrokinesis,7Chariot,Pyrokinesis,4Nvsdo74AJjZzTdE509d6L,
safe_to_copy_spotify_id_to_spotify_track_id,45,Girls Just Want to Have Fun,80's Greatest Hits,The 80's Greatest Hits: Pop Music (Classics),1EfWsEknJqsKpsAj5R0f0q,
safe_to_copy_spotify_id_to_spotify_track_id,46,Cubik,808 State,808:88:98: 10 Years of 808 State,5BxETnZ8Dzm86jcuFAozOa,
safe_to_copy_spotify_id_to_spotify_track_id,47,Angel,8mm,Songs to Love and Die By,1U9Wq3JvuweZMUtGvyLbJD,
safe_to_copy_spotify_id_to_spotify_track_id,48,Around the Sun,8mm,Between the Devil and Two Black Hearts,102kjzWiPOnGTwIrFrhybB,
safe_to_copy_spotify_id_to_spotify_track_id,49,Give It Up,8mm,Opener EP,6b7ID4frdd828kmL16eIc7,
already_same,50,Never Enough,8mm,Songs to Love and Die By,7maTTXmQs8oinPaU8hSUzY,7maTTXmQs8oinPaU8hSUzY
already_same,51,Nothing Left to Lose,8mm,Opener EP,5ZHTmg3DJj3P1xiAmmG93P,5ZHTmg3DJj3P1xiAmmG93P
safe_to_copy_spotify_id_to_spotify_track_id,52,Opener,8mm,Opener EP,3nUXMsvyfF2e0P21FVYF3h,
safe_to_copy_spotify_id_to_spotify_track_id,53,Black Jesus,9 Lazy 9,Paradise Blown,2Aujipv9QnsdezNWnb7s4W,
already_same,54,Brothers of the Red,9 Lazy 9,Paradise Blown,0vOT4jbqcssJ8GlZvsF5y8,0vOT4jbqcssJ8GlZvsF5y8
safe_to_copy_spotify_id_to_spotify_track_id,55,Electric Lazyland,9 Lazy 9,Electric Lazyland,4desWKODsdzW9QHHmQxx6J,
already_same,56,Keep Going Daddy,9 Lazy 9,Sweet Jones,3Jb89UV5Jd9bttc3m6oSmH,3Jb89UV5Jd9bttc3m6oSmH
already_same,57,Take Nine,9 Lazy 9,Paradise Blown,1LY5nlaBgdMtz9FS3thZjp,1LY5nlaBgdMtz9FS3thZjp
already_same,58,Tumbleweed,9 Lazy 9,Sweet Jones,1KoSE5VQukgPmplWkNXbNS,1KoSE5VQukgPmplWkNXbNS
safe_to_copy_spotify_id_to_spotify_track_id,59,All I Need,[re:jazz],Point of View,3bUrwdAPrWMiQVoNYwwYNV,
safe_to_copy_spotify_id_to_spotify_track_id,62,Space Age Love Song,A Flock of Seagulls A Flock of Seagulls,A Flock of Seagulls,1yKjxJR95rw8ckJ0dYpiMa,
safe_to_copy_spotify_id_to_spotify_track_id,63,I Ran (So Far Away),A Flock of Seagulls We Are the '80s,We Are the '80s,2bGzGweBk9c6AVLEDsxCzE,
safe_to_copy_spotify_id_to_spotify_track_id,64,Everything,A Forest Mighty Black,Mellowdramatic (Playlist: lounge),7hnloYYhI8mr4ZuT4H2ZuS,
already_same,65,Minigame,A Forest Mighty Black,Mellowdramatic,3CLcUimpIJtt9IlqISEjb2,3CLcUimpIJtt9IlqISEjb2
safe_to_copy_spotify_id_to_spotify_track_id,66,Rebirth,A Forest Mighty Black,Mellowdramatic,4CMOzNttliw41slRLQY6kL,
safe_to_copy_spotify_id_to_spotify_track_id,67,Tides,A Forest Mighty Black,Mellowdramatic,0Yj4m3cMziXotL5BRZRj9l,
safe_to_copy_spotify_id_to_spotify_track_id,68,Till the End,A Forest Mighty Black,Mellowdramatic,3G7iY4kwQrMDioWkApuXYp,
already_same,70,Take On Me,a ha,Crazy Times: 80s Music Videos,2WfaOiMkCvy7F5fcp2zZ8L,2WfaOiMkCvy7F5fcp2zZ8L
already_same,71,The Sun Always Shines on TV,a ha,Hunting High and Low,0HoaLXRp7jJtdQFunUyUGc,0HoaLXRp7jJtdQFunUyUGc
safe_to_copy_spotify_id_to_spotify_track_id,73,Judith,A Perfect Circle,Mer De Noms,5KDNFlHAdDJ84fhK27c35X,
safe_to_copy_spotify_id_to_spotify_track_id,74,Dead Man's Party,A Thorn for Every Heart,Punk Goes 80's,5pnkR257jbchE1DVPa1pzV,
safe_to_copy_spotify_id_to_spotify_track_id,75,Around the World (La La La La La),A Touch of Class Planet Pop,Planet Pop,7CvOnbFdnIoXMQ4eFCo5lB,
already_same,76,Take on Me,a-ha,Hunting High and Low,2WfaOiMkCvy7F5fcp2zZ8L,2WfaOiMkCvy7F5fcp2zZ8L
conflict_spotify_id_differs_from_track_id,77,Take On Me (MTV Unplugged),a-ha,MTV Unplugged - Summer Solstice,7htt7UuxHL5wneOcMWJP5E,2WfaOiMkCvy7F5fcp2zZ8L
safe_to_copy_spotify_id_to_spotify_track_id,78,Take On Me (MTV Unplugged),a-ha & MTV Unplugged - Summer Solstice,4:14,7htt7UuxHL5wneOcMWJP5E,
already_same,81,A Love from Outer Space,A.R. Kane,I,7tkRBcVJBFC5REkBZ9iYi2,7tkRBcVJBFC5REkBZ9iYi2
safe_to_copy_spotify_id_to_spotify_track_id,82,Dancing Queen (Pierre J's main radio mix),A?Teens,Dancing Queen,2K18PiBfoRhUhnubysBAsD,
safe_to_copy_spotify_id_to_spotify_track_id,87,Every Breath You Take,"Aaron Krause, Liza Anne",Every Breath You Take (feat. Liza Anne),5xvAGovFqj41SyAinwvwVV,
safe_to_copy_spotify_id_to_spotify_track_id,88,Black,Aaron Lewis,The Family Values Tour 2001,5Rz7LSGfBLrHsXX7fqSEV4,
safe_to_copy_spotify_id_to_spotify_track_id,89,Everybody Plays the Fool,Aaron Neville,Warm Your Heart,6VthESmOYTaHBh1g0pacba,
conflict_spotify_id_differs_from_track_id,90,Rainbow Warrior,Abakus,Multiple Organisms - Compiled By Earthling,4KAbZV8A5ISYtkztzA27CG,4YmeoueDGZKhGk4UZPebcL
safe_to_copy_spotify_id_to_spotify_track_id,91,Dancing Queen,ABBA,The Singles: The First Ten Years,0GjEhVFGZW8afUYGChu3Rr,
safe_to_copy_spotify_id_to_spotify_track_id,92,Mamma Mia,ABBA,ABBA (Bonus Track Version),2TxCwUlqaOH3TIyJqGgR91,
safe_to_copy_spotify_id_to_spotify_track_id,93,Be Near Me,ABC,Look of Love: The Very Best of ABC,1l3fRzoUngJr6hSMIT1Hfq,
safe_to_copy_spotify_id_to_spotify_track_id,94,How To Be A Millionaire,ABC,How To Be A Zillionaire,3zC02nmo5OrDDMW3U905AU,
safe_to_copy_spotify_id_to_spotify_track_id,95,Poison Arrow,ABC,The Lexicon Of Love (Deluxe Edition) (Playlist: Liked videos),7abGerACQx9G1OBqHYFKAb,
safe_to_copy_spotify_id_to_spotify_track_id,96,"The Look Of Love, Pt.1",ABC,The Lexicon Of Love,6HvUtPLqkP0t6zd6YNdWby,
safe_to_copy_spotify_id_to_spotify_track_id,97,"The Look Of Love, Pt.1 (Steven Wilson Stereo Mix / 2022)",ABC,The Lexicon Of Love,5pHius0UjY4n5IVwuGCiPy,
safe_to_copy_spotify_id_to_spotify_track_id,99,Blue Monday,Above & Beyond,"Blue Monday (Playlist: And now, a new take on an old theme)",5dXZhZbDHWu6zwXkssFQcs,
safe_to_copy_spotify_id_to_spotify_track_id,100,Waves,Abroad,Waves,0i3Rqpse98mRgYSCk3uweM,
safe_to_copy_spotify_id_to_spotify_track_id,101,"Baby, Please Don't Go",AC/DC,High Voltage,1jyznfH2Lp3TrIHx5cFQwv,
safe_to_copy_spotify_id_to_spotify_track_id,102,Back In Black,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,
safe_to_copy_spotify_id_to_spotify_track_id,103,Big Balls,AC/DC,Greatest Hell's Hits,2KmSnPWWCIsEomVsKnbE1a,
safe_to_copy_spotify_id_to_spotify_track_id,104,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,
safe_to_copy_spotify_id_to_spotify_track_id,105,For Those About to Rock (We Salute You),AC/DC,Greatest Hell's Hits,17lu4tymfnhmcIDlzBbtAb,
safe_to_copy_spotify_id_to_spotify_track_id,106,Highway to Hell,AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,
safe_to_copy_spotify_id_to_spotify_track_id,107,T.N.T.,AC/DC,High Voltage,7LRMbd3LEoV5wZJvXT1Lwb,
safe_to_copy_spotify_id_to_spotify_track_id,108,Thunderstruck,AC/DC,The Razors Edge,57bgtoPSgt236HzfBOd8kj,
safe_to_copy_spotify_id_to_spotify_track_id,109,You Shook Me All Night Long,AC/DC,Back In Black,2SiXAy7TuUkycRVbbWDEpo,
safe_to_copy_spotify_id_to_spotify_track_id,110,All That She Wants,Ace of Base,Singles of the 90s,6kWJvPfC4DgUpRsXKNa9z9,
safe_to_copy_spotify_id_to_spotify_track_id,111,Don't Turn Around,Ace of Base,The Sign,4SYMibQ93bfzOk6uzkF0dO,
safe_to_copy_spotify_id_to_spotify_track_id,112,Another Brick in the Wall,Acid Drinkers,The Metal Museum: Covered in Metal 2,0LJoDP8YYbc8OD35inUavM,
safe_to_copy_spotify_id_to_spotify_track_id,113,Down in It,Acoustic Hits,Acoustic Hits: A Tribute to Nine Inch Nails (Cover Nominees),3FQsbsz5dnYM3SvZFkvafZ,
safe_to_copy_spotify_id_to_spotify_track_id,114,Pumped Up Kicks (Acoustic Bossa Version) [Foster the People Cover],Acoustic Hits,"Acoustified Hits, Vol. 7 (Cover Nominees)",6JAYs9ravDHwkWMtgAa2pY,
already_same,115,Friends of Father,Ad-ver-sary,Bone Music,0ptFtQ15FA7HajwjJwBoVF,0ptFtQ15FA7HajwjJwBoVF
safe_to_copy_spotify_id_to_spotify_track_id,116,Desperate but Not Serious,Adam Ant,Friend Or Foe,7vDvtRSQ1WsGy87TrpBQGM,
safe_to_copy_spotify_id_to_spotify_track_id,117,Goody Two Shoes,Adam Ant,Friend Or Foe,760xFXFj5Fksa3jawSCn5g,
safe_to_copy_spotify_id_to_spotify_track_id,118,Goody Two Shoes (Chris Huges Single Version),Adam Ant,Friend Or Foe,7uAxtacvwFDmeXOIkbm3TM,
safe_to_copy_spotify_id_to_spotify_track_id,119,Strip (Single Version),Adam Ant,Strip,4Aj9ptiGlLl3CidNeK1nVi,
safe_to_copy_spotify_id_to_spotify_track_id,120,Gifts To Your Future Self - Solo Guitar Version,Adam Dodson,Gifts To Your Future Self,6BFi5y8kIjFqczeXYDEpiM,
already_same,122,Music In My Mind,Adam F,Yoshiesque,5by8wHKXwdimieW4i4GyWb,5by8wHKXwdimieW4i4GyWb
safe_to_copy_spotify_id_to_spotify_track_id,126,Chasing Pavements,Adele,2009 GRAMMY Nominees,56pHllZT7QOacB0bP56ofx,
safe_to_copy_spotify_id_to_spotify_track_id,127,Don't You Remember,Adele,21,4RyjMERDcCJHTkFpXzgUw4,
safe_to_copy_spotify_id_to_spotify_track_id,129,Lovesong,Adele,21,7nm6DlSzzJTH1rk2e6EgJz,
safe_to_copy_spotify_id_to_spotify_track_id,130,Rolling in the Deep,Adele,21,1c8gk2PeTE04A1pIDH9YMk,
safe_to_copy_spotify_id_to_spotify_track_id,131,Lovesong,Adele & 21,5:17,7nm6DlSzzJTH1rk2e6EgJz,
safe_to_copy_spotify_id_to_spotify_track_id,133,Your Love,Adina V,Your Love,1NJAPeRBvDCpsvlh9jM6nv,
safe_to_copy_spotify_id_to_spotify_track_id,134,Your Love,Adina V & The Acoustic Room,Your Love (Cover Nominees),1NJAPeRBvDCpsvlh9jM6nv,
safe_to_copy_spotify_id_to_spotify_track_id,135,Your Love,Adina V & Your Love,2:35,1NJAPeRBvDCpsvlh9jM6nv,
safe_to_copy_spotify_id_to_spotify_track_id,138,Talking in Your Sleep,Adona,Talking in Your Sleep (Cover Nominees),5cdXybff6GwODyp59pdETW,
safe_to_copy_spotify_id_to_spotify_track_id,145,Angel,Aerosmith,Permanent Vacation,3kfXUGIdBNpyr2gBvU3Guj,
safe_to_copy_spotify_id_to_spotify_track_id,146,"Baby, Please Don't Go",Aerosmith,Honkin' on Bobo,0yvfGM5ql6TI4of0EDX1sl,
safe_to_copy_spotify_id_to_spotify_track_id,147,Back in the Saddle,Aerosmith,Aerosmith's Greatest Hits,3WPYapjyqcVpShYXQuChcs,
safe_to_copy_spotify_id_to_spotify_track_id,148,Come Together,Aerosmith,Aerosmith's Greatest Hits,6FfE10CNarokEyIGxWhz2g,
safe_to_copy_spotify_id_to_spotify_track_id,149,Crazy,Aerosmith,Big Ones,3QxKpdTB8ZSFn8MGeCCpsQ,
safe_to_copy_spotify_id_to_spotify_track_id,150,Cryin,Aerosmith,Devil's Got a New Disguise: The Very Best of Aerosmith,4t1fWWJQs5V9YErfsrDslC,
safe_to_copy_spotify_id_to_spotify_track_id,151,Draw the Line,Aerosmith,Aerosmith's Greatest Hits,27vuAmVFj4OJMDxFYaluTC,
safe_to_copy_spotify_id_to_spotify_track_id,152,Drop Dead Gorgeous,Aerosmith,Just Push Play,0JUSNPMPCuFv0R9S4lqjd9,
safe_to_copy_spotify_id_to_spotify_track_id,153,Dude (Looks Like a Lady),Aerosmith,Young Lust: The Aerosmith Anthology,6gQUbFwwdYXlKdmqRoWKJe,
conflict_spotify_id_differs_from_track_id,154,I Don't Want to Miss a Thing,Aerosmith,Armageddon - The Album,225xvV8r1yKMHErSWivnow,1xEEN1FMnnrJmdhbCWXCQj
conflict_spotify_id_differs_from_track_id,155,Love in an Elevator,Aerosmith,Big Ones,1l6DV8qhmCdgOKLSAFzPOe,1nZ2TI2hNPGDYyesyaaASn
already_same,156,Rag Doll,Aerosmith,Permanent Vacation,2KCJYwlBWxdlwyIYckIf6V,2KCJYwlBWxdlwyIYckIf6V
already_same,157,Sweet Emotion,Aerosmith,Toys In The Attic,73TxYZd0lBCVRrHawrAglA,73TxYZd0lBCVRrHawrAglA
already_same,158,Walk This Way,Aerosmith,Toys In The Attic,4JfuiOWlWCkjP6OKurHjSn,4JfuiOWlWCkjP6OKurHjSn
safe_to_copy_spotify_id_to_spotify_track_id,159,Daylight,Aesop Rock,Labor Days,05GnmzpvnAUwnXuOQ5OTop,
already_same,160,None Shall Pass,Aesop Rock,None Shall Pass,207jvv3SLF6CGhVW2gOanq,207jvv3SLF6CGhVW2gOanq
safe_to_copy_spotify_id_to_spotify_track_id,161,Rings,Aesop Rock,The Impossible Kid,1M1wqGG7FYPlHVFWOZloJR,
safe_to_copy_spotify_id_to_spotify_track_id,162,Don't Change,AFI,Miss Murder,2PIpA8JxTyficnAlc0x71U,
safe_to_copy_spotify_id_to_spotify_track_id,163,Miss Murder,AFI,"DECEMBERUNDERGROUND (Playlist: July 25, 2019 Random Upbeat)",0Ti2dlF2xLjXblvdU5fCxM,
safe_to_copy_spotify_id_to_spotify_track_id,164,Der Kommissar,After The Fire,Club Epic - A Collection Of Classic Dance Mixes - Volume 5,2wjCYgpCMywSDkds2c8Rq6,
safe_to_copy_spotify_id_to_spotify_track_id,165,5th & Avenida,Afterlife,"Cafe del Mar, volumen cuatro",00NRnJP7yX1GmYsouotaL6,
safe_to_copy_spotify_id_to_spotify_track_id,167,Breather 2000,Afterlife,"Cafe Del Mar: The Evolution of Chill, Pt. II (DJ Mix)",5UeUzyzkUJzK1OuDjnmhdx,
safe_to_copy_spotify_id_to_spotify_track_id,168,Breather 2000 (Arithunda mix),Afterlife,Kontor: Sunset Chill,6zYQ0wPJMfYHrPeqVNsoyp,
already_same,169,Deeper - Into Places,Afterlife,Simplicity 2000,1rkNy4l2GMsHKKIlZJTPnj,1rkNy4l2GMsHKKIlZJTPnj
already_same,170,Dub In Ya Mind,Afterlife,Simplicity 2000,06DXs2hBRdjNs1qE1iYCQQ,06DXs2hBRdjNs1qE1iYCQQ
conflict_spotify_id_differs_from_track_id,171,Dub In Ya Mind (Beach Club Mix),Afterlife,The Very Best of Café del Mar Music,6PL9VLAwzRQdLJ1TM48snU,06DXs2hBRdjNs1qE1iYCQQ
safe_to_copy_spotify_id_to_spotify_track_id,172,Shine,Afterlife,Rendezvous Lounge Vol 2,4UxcwaFoSeruknwacNjfOO,
already_same,173,Speck Of Gold,Afterlife,Speck of Gold,1fAMA1PWg0nnYLQQYcSSls,1fAMA1PWg0nnYLQQYcSSls
safe_to_copy_spotify_id_to_spotify_track_id,176,Talking In Your Sleep,"AG, Daniella Mason",Talking In Your Sleep,3mbI3WHLU2vk34tptcPgkF,
safe_to_copy_spotify_id_to_spotify_track_id,177,Karma Police,"AG, Lissie",Karma Police,5IAtTKC2NufQC0grNJUxFQ,
safe_to_copy_spotify_id_to_spotify_track_id,178,Red Tape,Agent Provocateur,Off the Wall: Ten Years of Wall of Sound,3i8wc873fVQbQpmKsBxUMN,
safe_to_copy_spotify_id_to_spotify_track_id,180,Riverside,Agnes Obel,Philharmonics,4vJ2nNBA6sxAUN5kLGPq3Q,
safe_to_copy_spotify_id_to_spotify_track_id,181,Run Cried the Crawling,Agnes Obel,Aventine,4WE0RO5lbhjqauTgXgoq8c,
safe_to_copy_spotify_id_to_spotify_track_id,182,The Curse,Agnes Obel,Aventine,7hiY7fVxa0LEUeUP4F4ReR,
safe_to_copy_spotify_id_to_spotify_track_id,183,Enjoy the Silence,Agnès Vanilla,A Tribute to Depeche Mode - Thank U,5OKzlwnexSeKn5Q407oRAp,
safe_to_copy_spotify_id_to_spotify_track_id,187,Cold Water Music,Aim,Cold Water Music,4aY26H8RJQ6zcvovm85GVg,
safe_to_copy_spotify_id_to_spotify_track_id,188,Cold Water Music (Original LP Mix),Aim,Cassagrande Lounge (The Best Relaxin' And Chillin' Music),640izESwt9hsyMEEWEgAfL,
already_same,189,From A Seaside Town,Aim,Hinterland,236qFjvPFBe4cwUYxQKkWc,236qFjvPFBe4cwUYxQKkWc
safe_to_copy_spotify_id_to_spotify_track_id,190,The Girl Who Fell Through The Ice,AIM & KATE ROGERS,Hinterland,4osIEaLiT1q9EsIOF5J0mi,
safe_to_copy_spotify_id_to_spotify_track_id,191,Ain't Got Time to Waste,"Aim, YZ",Cold Water Music,52EDC32R0WxNs6ju9VUqLj,
safe_to_copy_spotify_id_to_spotify_track_id,192,That's Just What You Are,Aimee Mann I'm With Stupid,I'm With Stupid,57MTxkAOX1jt4oZVu7mtOs,
safe_to_copy_spotify_id_to_spotify_track_id,193,The Scientist (Live),Aimee Mann Lost In Space (Deluxe Edition),Lost In Space (Deluxe Edition),7qma5VZZ9cgKyLFX0u0qdx,
conflict_spotify_id_differs_from_track_id,194,All I Need,Air,Felicity,7jOM0KIKgIppqIEvEjixaj,15BlQhZY1eifwSr1rLMdUG
conflict_spotify_id_differs_from_track_id,195,All I Need (feat. Beth Hirsch),Air,Acoustic Songbook,7jOM0KIKgIppqIEvEjixaj,15BlQhZY1eifwSr1rLMdUG
safe_to_copy_spotify_id_to_spotify_track_id,196,Alone in Kyoto,Air,Talkie Walkie,40UlFC0dIxv7lAEJaPZLnm,
safe_to_copy_spotify_id_to_spotify_track_id,197,Alpha Beta Gaga (Mark Ronson dub),Air,Alpha Beta Gaga,6NKNVCjvfm6jMayzabbR7x,
already_same,198,Casanova 70,Air,Premiers Symptômes,71iaCJRmNFqIAvhmEb1XW9,71iaCJRmNFqIAvhmEb1XW9
safe_to_copy_spotify_id_to_spotify_track_id,199,Ce matin-la,Air,Moon Safari,0pEmzblUxXvzIYnJpu8gWW,
safe_to_copy_spotify_id_to_spotify_track_id,200,Cemetary Party,Air,The Virgin Suicides,74wMVIurmVVrur2PyotRO3,
already_same,201,Cherry Blossom Girl,Air,Talkie Walkie,4m8ttWM8IKXyhpv89E867J,4m8ttWM8IKXyhpv89E867J
conflict_spotify_id_differs_from_track_id,202,Cherry Blossom Girl (Simian Mobile disco remix),Air,Cherry Blossom Girl,41JmmWQb9vlm3eRAwP4dyW,4m8ttWM8IKXyhpv89E867J
safe_to_copy_spotify_id_to_spotify_track_id,203,Empty House,Air,The Virgin Suicides (Original Motion Picture Score),4GJRizoC2rpZIdzZ46z11Q,
already_same,204,Ghost Song,Air,The Virgin Suicides Redux,5bDZlGJoiAzrrhIOI43bjZ,5bDZlGJoiAzrrhIOI43bjZ
safe_to_copy_spotify_id_to_spotify_track_id,205,Highschool Lover,Air,The Virgin Suicides (Original Motion Picture Score),6JBDPZ0DOmc5mBJprphQc8,
already_same,206,How Does It Make You Feel?,Air,10 000 Hz Legend (2021 Remastered),4IoqGTH2D6zMrGzg9gW0DL,4IoqGTH2D6zMrGzg9gW0DL
conflict_spotify_id_differs_from_track_id,207,How Does It Make You Feel? (Edit),Air,Everybody Hertz,70cffa1QCpfYYAVWkwg5Oc,4IoqGTH2D6zMrGzg9gW0DL
already_same,208,Kelly Watch The Stars,Air,Moon Safari,1KNCpsUEi6VdDIBzZ1cMVd,1KNCpsUEi6VdDIBzZ1cMVd
safe_to_copy_spotify_id_to_spotify_track_id,209,La femme d'argent,Air,"Moon Safari (Playlist: October 27, 2019)",6tEaLXZlN8b71vWV1SSsRf,
already_same,210,Le soleil est près de moi,Air,Le Soleil Est Près De Moi - Single,3Aa4ijCL9iilxsCLk48JnG,3Aa4ijCL9iilxsCLk48JnG
already_same,211,Le voyage de Pénélope,Air,Moon Safari,6NBa6VmFsqWQjJ9cM5H6q2,6NBa6VmFsqWQjJ9cM5H6q2
already_same,212,Les professionnels,Air,Premiers Symptômes - EP,7mdMVGpnaOtmtEvZ4bwZgx,7mdMVGpnaOtmtEvZ4bwZgx
already_same,213,Lost Message,Air,Pocket Symphony,3Zxqv7maSyKnndOZfI03k0,3Zxqv7maSyKnndOZfI03k0
conflict_spotify_id_differs_from_track_id,214,Modulor mix,Air,Source Lab,1THmmDV8tPlBm90kyWf6uU,4v1vuLH8aEtxAZdoVSwm02
already_same,215,New Star In The Sky,Air,Moon Safari Rarities (25th Anniversary Edition),5bq9n41pwbgvD6Mr56Rmsb,5bq9n41pwbgvD6Mr56Rmsb
already_same,217,Once Upon A Time,Air,Once Upon a Time - Single,4XdDsLM1wXjWKcXty7GYCA,4XdDsLM1wXjWKcXty7GYCA
already_same,218,Playground Love,Air,The Virgin Suicides (Original Motion Picture Score),6L5RI9isQPvFyl1yCxnFFb,6L5RI9isQPvFyl1yCxnFFb
already_same,220,Sex Born Poison,Air,10 000 Hz Legend,2NVHxR89RDACrAPpckPfkN,2NVHxR89RDACrAPpckPfkN
safe_to_copy_spotify_id_to_spotify_track_id,221,Sexy Boy,Air,Moon Safari,7Fx3o9QtK1vtpkEWkM6OJu,
already_same,222,Space Maker,Air,Pocket Symphony,3OfuQHgjdtAYhneZ74iCTL,3OfuQHgjdtAYhneZ74iCTL
already_same,223,Surfing On A Rocket,Air,Talkie Walkie,0RFduQOfkrP1jhoV0m8US2,0RFduQOfkrP1jhoV0m8US2
already_same,224,Talisman,Air,Moon Safari,5fddI3jipxueajScJYReMT,5fddI3jipxueajScJYReMT
safe_to_copy_spotify_id_to_spotify_track_id,225,Even the Nights Are Better,Air Supply,Now and Forever,09bRmFRViBORKQ2miwp04P,
safe_to_copy_spotify_id_to_spotify_track_id,226,All I Need,"Air, Beth Hirsch",Moon Safari,7jOM0KIKgIppqIEvEjixaj,
safe_to_copy_spotify_id_to_spotify_track_id,227,Playground Love (with Gordon Tracks),"Air, Gordon Tracks",The Virgin Suicides (Original Motion Picture Score),6L5RI9isQPvFyl1yCxnFFb,
safe_to_copy_spotify_id_to_spotify_track_id,228,Lately,AIRBISCUIT & HI,Lately (The Mixes),7njqCUO4qfYpLFTYHmx5XC,
already_same,229,Revealing Some Interest,Airlock,Symptomatic,4yZUMc0lnMrEm3l7SZlcFf,4yZUMc0lnMrEm3l7SZlcFf
safe_to_copy_spotify_id_to_spotify_track_id,230,Toy Soldiers,Aisha Vaughan & Kieron Pepper Tin Hearts,Tin Hearts Double A-Side,3qPDLQQzbGKJbJcxqnyRKQ,
